Thai,English
แยกทางหลวงหมายเลข 3033 (กม.ที่ 0+060) - แยก ทช.อท.4002 (กม.ที่ 9+900),Highway intersection number 3033 (km at 0+060) - NTC Intersection 4002 (Km 9+900)
บ้านช่อง - หาดเลา,Ban Chong - Hat Lao
เชียรใหญ่ - ปากพนัง,Chian Yai - Pak Phanang
แยกทางหลวงหมายเลข 3211 (กม.ที่ 38+318) - แยกทางหลวงชนบท ชน.4013 (กม.ที่ 19+611),Highway intersection number 3211 (km 38+318) - Rural Road Intersection. 4013 (Km. 19+611)
แยกทางหลวงหมายเลข 4066 (กม.ที่ 17+128) - บ้านกาโด๊ะ,Highway intersection number 4066 (Km. 17+128) - Ban Gao
แยกทางหลวงหมายเลข 1 (กม.ที่ 652+300 ) - บ้านนากว้าว,Highway 1 (km 652+300) - Ban Nak Wow
ทางเข้าพระพุทธบาทสระบุรี,The entrance to Phra Phutthabat Saraburi
แยกทางหลวงหมายเลข 115 (กม.ที่ 88+650) - บ้านสนามคลี,Highway 115 (km 88+650) - Ban Sanam Clei
สอง - แม่เต้น,Two - Mother Dance
แยกทางหลวงหมายเลข 107 (กม.ที่ 150+600) - บ้านแม่สลัก,Highway 107 (km at 150+600) - Mae Salak House
พระพุทธบาท - หนองโดน,Phra Phutthabat - Nong Don
แยกทางหลวงหมายเลข 325 (กม.ที่ 32+110) - บ้านบางสะใภ้,Highway intersection number 325 (km 32+110) - Ban Bang Sai
ทางเข้าท่าอากาศยานขอนแก่น,Khon Kaen Airport entrance
แยกทางหลวงชนบท สต.3007 (กม.ที่ 8+150) - บ้านผังปาล์ม 7,Rural Road Intersection 3007 (Km. 8+150) - Ban Plang Palm 7
ปางหมิ่น - บ้านแพะ,Pang Min - Ban Goat
เขื่อนเพชร - ห้วยโสก,Dam Phet - Huai Sok
แขวงทางหลวงนครราชสีมาที่ 1 - สามแยกสุรนารายณ์,Nakhon Ratchasima Highway 1 - Suranarai Intersection
แยกทางหลวงหมายเลข 11 (กม.ที่ 10+500) - บ้านบึงพระ,Highway 11 (km 10+500) - Ban Bueng Phra
เลียบเขื่อนป่าสักชลสิทธิ์ฝั่งขวา,Along the Pasak Chonlasit Dam on the right side
ทางเข้าราชบุรี,Ratchaburi entrance
แยกทางหลวงหมายเลข 362 (กม.ที่ 8+000) - บ้านปากบาง,Highway intersection number 362 (km 8+000) - Ban Pak Bang
แยกทางหลวงหมายเลข 2285 (กม.ที่ 7+990) - บ้านหนองบัววง,Highway 2285 (km 7+990) - Ban Nong Bua Wong
แยกคันคลองชลประทาน (กม.ที่ 2+750) - บ้านบางมงคล,"Intersection, canal, irrigation canal (km 2+750) - Ban Bang Mongkol"
แยกทางหลวงหมายเลข 333 (กม.ที่ 33+600) - บ้านหนองปลิง,Highway 333 (km at 33+600) - Ban Nong Pling
แยกทางหลวงชนบท ลป.1014 (กม.ที่ 2+545) - อำเภอเกาะคา,"Rural Road Intersection, LP 1014 (Km 2+545) - Ko Kha District"
แยกทางหลวงหมายเลข 2045 (กม.ที่ 9+950) - บ้านเหล่าล้อ,Highway intersection number 2045 (km 9+950) - Ban Lao Lo
น้ำแคม - ปากคาน,Cam -Pak Khan
แยกทางหลวงหมายเลข 304 (กม.ที่ 61+930) - บ.คลองสะท้อน,Highway intersection number 304 (Km 61+930) - Khlong reflected
สี่แยกโพธิ์ทอง - ควนขนุน,Pho Thong intersection - Khuan Khanun
แยกทางหลวงหมายเลข 333 (กม.ที่ 42+020) - บ้านหนองไม้เหลี่ยม,Highway 333 (km 42+020) - Ban Nong Mai
บ้านหมี่ - เขาช่องลม,Ban Mi - Khao Chong Lom
แยกทางหลวงชนบท สค.2055 (กม.0+040) - บ้านคลองกก,"Junction of Rural Road, Aug 2055 (Km. 0+040) - Ban Khlong Kok"
แยกทางหลวงหมายเลข 3139 (กม.ที่ 6+250) - บ้านมาบจันทร์,Highway intersection number 3139 (km 6+250) - Ban Mapchan
แยกทางหลวงชนบท นบ.3015 (กม.ที่ 3+150) - บ้านคลองหนึ่ง,Rural Road Intersection 3015 (Km 3+150) - Ban Khlong Nueng
แยกทางหลวงหมายเลข 2096 (กม.ที่ 28+500) - บ้านสร้างคอม,Highway intersection number 2096 (km at 28+500) - Ban Sangcom
ศรีบุญเรือง - หลักลาย,Sri Boonruang - Lai Lai
แยกทางหลวงหมายเลข 42 (กม.ที่ 207+675) - บ้านศาลาใหม่,Highway 42 (km at 207+675) - Ban Sala Mai
แยกทางหลวงหมายเลข 2418 (กม.ที่ 8+270) - บ้านเมยวดี,Highway intersection number 2418 (km 8+270) - Ban Medi Di
แยกทางหลวงหมายเลข 1 (กม.ที่ 374+000) - บ้านลาดยาว,Highway 1 (km 374+000) - Ban Lat Yao
แยกทางหลวงหมายเลข 4056 (กม.ที่ 8+578) - บ้านตันหยงมัส,Highway 4056 (km 8+578) - Ban Tan Yongmas
แยกทางหลวงหมายเลข 115 (กม.ที่ 79+900) - บ้านเนินปอ,Highway 115 (km 79+900) - Ban Noen Po
แยกทางหลวงหมายเลข 3333 (กม.ที่ 3+000) - บ้านน้ำซับ,Highway 3333 (Km 3+000) - Ban Nam Sap
ทางเข้าเวียงฝาง,Wiang Fang entrance
แยกทางหลวงหมายเลข 304 (กม.ที่ 58+500) - บ้านไทยสามัคคี (ฉ ผังเมืองรวม),Highway intersection number 304 (km 58+500) - Ban Thai Samakkhi (Chor Town Planning)
บ้านช่องสะแก - บ้านบางแก้ว,Ban Chong Sakae - Ban Bang Kaew
กาเน๊ะ - สตูล,Genh - Satun
แยกทางหลวงหมายเลข 321 (กม.ที่ 8+450) - บ้านหนองเสือ,Highway intersection number 321 (km 8+450) - Ban Nong Suea
แยกทางหลวงชนบท บก.3009 (กม.ที่ 17+250) - บ้านสันทรายงาม,Rural Road Intersection 3009 (Km 17+250) - Ban San Sai Ngam
น้ำเกลี้ยง - หนองดุก,Smooth water - Nong Duk
อรัญประเทศ - ไผ่ล้อม,Aranyaprathet - Phai Lom
ทางเข้าเมืองแพร่,The entrance to Phrae
หนองไผ่ - ซับพุทรา,Nong Phai - Subhuppura
หนองปรือ - สำนักตะแบก,Nong Prue - Tabaek Office
แยกทางหลวงหมายเลข 2195 (กม.ที่ 24+600) - บ้านกกดู่,Highway intersection number 2195 (Km. 24+600) - Ban Ku
แยกทางหลวงหมายเลข 304 (กม.ที่ 64+850) - บ้านซับพลู,Highway intersection number 304 (Km 64+850) - Ban Sublu
เลียบเขื่อนป่าสักชลสิทธิ์ฝั่งซ้าย (ตอนสระบุรี),Along the Pasak Chonlasit Dam on the left side (Saraburi)
คลองบ้านใหม่ - บางพูน,Khlong Ban Mai - Bang Phun
สลกบาตร - บ่อถ้ำ,Sok alms -cave pond
อ่างศิลา - โนนเรียง,Ang Sila -Non Riang
ท่านุ่น -ในหยง,Nun -in Yong
แยกทางหลวงหมายเลข 315 (กม.ที่ 14+600) - บ้านหนองปลาไหล,Highway 315 (Km 14+600) - Ban Nong Pla Lai
วานรนิวาส - บ้านเซือม,Wanon Niwat - Ban Yew
ถ้ำพรรณรา - ทานพอ,Phanra Cave - Eat enough
แยกทางหลวงหมายเลข 2291 (กม.ที่ 19+500) - บ้านกุดบอด,Highway intersection number 2291 (Km. 19+500) - Ban Kut Blind
แยกทางหลวงหมายเลข 42 (กม.ที่ 45+850) - บ้านสายบุรี,Highway 42 (km 45+850) - Ban Sai Buri
แยกทางหลวงหมายเลข 2063 (กม.ที่ 22+500) - บ้านแดงโพง,Highway intersection number 2063 (km 22+500) - Ban Daeng Phong
แยกทางหลวงหมายเลข 225 (กม.ที่ 124+200) - แยกทางหลวงหมายเลข 2159 (กม.ที่ 8+580),Highway intersection number 225 (km 124+200) - Highway intersection number 2159 (km 8+580)
แยกทางหลวงหมายเลข 4 (กม.ที่ 37+950) - บ้านสวนผัก,Highway 4 (km 37+950) - Ban Suan Phak
แยกทางหลวงหมายเลข 7 (กม.ที่ 113+200) - บ้านโป่งสะเก็ด,Highway 7 (Km. 113+200) - Ban Pong Saket
แยกทางหลวงชนบท สส.4013 (กม.25+650) - บ้านปราโมทย์,"Junction of Rural Roads, S. 4013 (km 25+650) - Ban Pramote"
แยกทางหลวงหมายเลข 4 (กม.ที่ 157+900) - บ้านแหลม,Highway 4 (km 157+900) - Ban Laem
หนองกราด - คำปิง,Nong Krad - Kham Ping
สระแก้ว - แซร์ออ,Sa Kaeo -Zero
แยกทางหลวงหมายเลข 115 (กม.ที่ 75+850) - บ้านไหล่โก,Highway 115 (km 75+850) - Ban Shoulder Go
แยกทางหลวงหมายเลข 219 (กม.ที่ 64+590) - บ้านบกพร้าว,Highway 219 (Km 64+590) - Ban Bok Phrao
แยกทางหลวงหมายเลข 33 (กม.ที่ 75+400) - บ้านดอนข่อย,Highway 33 (km 75+400) - Ban Don Khoi
แยกทางหลวงหมายเลข 4024 (กม.ที่ 2+300) - บ้านกะตะ,Highway 4024 (Km 2+300) - Ban Kata
แยกทางหลวงหมายเลข 305 (กม.ที่ 20+650) - เลียบคลอง 9 ฝั่งตะวันตก,"Highway 305 (km 20+650) - Liab Khlong 9, Western side"
แยกทางหลวงหมายเลข 3284 (กม.ที่ 12+500) - บ้านตลาดสามแยกอ่างเวียน,Highway 3284 (Km 12+500) - Ban Talat Sam Klao Intersection
อำเภอนาโพธิ์ - บ้านหนองบัวลอง,Na Pho District - Ban Nong Bua Long
แยกทางหลวงชนบท ชร.4052 (กม.ที่ 13+400) - บ้านแม่หม้อ,"Junction of Rural Road, Chor. 4052 (Km 13+400) - Ban Mae Mo"
แยกทางหลวงหมายเลข 1234 (กม.ที่ 18+800) - บ้านหัวแม่คำ,Highway 1234 (km 18+800) - Ban Hua Mae Kham
แยกทางหลวงหมายเลข 1114 (กม.ที่ 20+500) - บ้านวังน้ำใส,Highway intersection number 1114 (km 20+500) - Ban Wang Nam Sai
แยกเทศบาลเมืองศรีสะเกษ - อำเภอยางชุมน้อย,Sisaket Municipality Intersection - Yang Chum Noi District
แยกทางหลวงหมายเลข 2186 (กม.ที่ 135+700) - บ้านเชียงกลม,Highway 2186 (Km. 135+700) - Ban Chiang Klom
ชุมชนโรงฆ่าสัตว์ (ถนนบูรพาใน อำเภอเมืองอุบลราชธานี - อำเภอวารินชำราบ ถนนวาสวิถี),"Slaughterhouse Community (Burapha Road in Mueang Ubon Ratchathani District - Warin Chamrap District, Wasawithi Road)"
แยกทางหลวงหมายเลข 1069 (กม.ที่ 16+587) - บ้านห้วยร่วม,Highway 1069 (Km 16+587) - Ban Huai Ruam
แยกทางหลวงหมายเลข 117 (กม.ที่ 96+400) - บ้านบึงบัว,Highway 117 (km 96+400) - Ban Bueng Bua
แยกทางหลวงหมายเลข 4085 (กม.ที่ 25+500) - บ้านคูหา,Highway 4085 (km 25+500) - Ban Khuha
แยกทางหลวงหมายเลข 2089 (กม.ที่ 65+800) - บ้านทะเลวังวัด,Highway 2089 (Km 65+800) - Ban Thale Wang Temple
ควนสามัคคี - พระแสง,Kuan Samakkhi - Phra Saeng
แยกทางหลวงหมายเลข 402 (กม.ที่ 35+200) - บ้านบางโจ,Highway intersection number 402 (km 35+200) - Ban Bang Jo
แยกทางหลวงหมายเลข 3183(กม.ที่ 38+900) - บ้านหนองขาหยั่ง,Highway intersection number 3183 (km 38+900) - Ban Nong Khad
แยกทางหลวงหมายเลข 2173 (กม.ที่ 0+800) - บ้านพิบูลมังสาหาร,Highway 2173 (km at 0+800) - Ban Phibun Mangsahan
แยกทางหลวงหมายเลข 202 (กม.ที่ 7+025) - บ้านโพนทราย,Highway intersection number 202 (km 7+025) - Ban Phon Sai
คลอง 10 - หนองเสือ,Khlong 10 - Nong Suea
แยกทางหลวงหมายเลข 3251 (กม.ที่ 10+758) - บ้านยางนอน,Highway intersection number 3251 (km 10+758) - Ban Yang Non
โกรกพระ - เนินกว้าว,Krok Phra - Noen Kuang
ทางเลี่ยงเมืองแม่สาย,Avoiding Mae Sai city
ท่าชะมวง - ควนลัง,Chamuang - Kuan Lang
แยกทางหลวงหมายเลข 213 (กม.ที่ 8+200) - บ้านมะค่า,Highway 213 (km 8+200) - Ban Makha
แยกทางหลวงหมายเลข 2188 (กม.ที่ 12+000) - มหาวิทยาลัยมหาสารคาม,Highway 2188 (Km 12+000) - Maha Sarakham University
บ้านปัก - เฝ้าไร่,Baan Pak - Watching Rai
ปางหัวช้าง - คลองไทร,Elephant -Khlong Sai
ดอนใหญ่ - โขงเจียม,Don Yai - Khong Chiam
แยก ทล.333 (กม.ที่ 176+200) - บ้านปากกะบาด,Intersection. 333 (Km. 176+200) - Ban Pak Kapad
แยกทางหลวงหมายเลข 4287 (กม.ที่ 23+550) - บ้านหินผุด,Highway 4287 (Km. 23+550) - Ban Hin Phut
แยกทางหลวงหมายเลข 227 (กม.ที่ 30+210) - บ้านแหลมโนนวิเศษ,Highway 227 (km 30+210) - Ban Laem Non Wiset
แยกทางหลวงหมายเลข 2312 (กม.ที่ 21+ 582) - บ้านโพนทัน,Highway 2312 (Km. 21+ 582) - Ban Phonnan
ลานข่อย -ไม้เสียบ,Lan Khoi -skewer
ทางเลี่ยงเมืองเชียงราย,Avoid Chiang Rai
แยกทางหลวงหมายเลข 4 (กม.ที่ 182+177) - บ้านหนองชุมแสง,Highway 4 (Km. 182+177) - Ban Nong Chumsaeng
แยกทางหลวงหมายเลข 4 (กม.ที่ 131+150) - บ้านอู่ตะเภา,Highway 4 (Km. 131+150) - Ban Utapao
แยกทางหลวงชนบท รย.4027 (กม.ที่ 5+100) - บ้านห้วยโป่ง,Rural Road Intersection 4027 (Km 5+100) - Ban Huai Pong
แยกทางหลวงหมายเลข 4181 (กม.ที่ 16+250) - บ้านปากจ่า,Highway 4181 (Km 16+250) - Ban Pakcha
แยกทางหลวงหมายเลข 228(กม.ที่ 23+250)-บ้านหัวนา,Highway 228 (Km. 23+250)-Ban Hua Na
ถนนวงแหวนรอบเมืองบุรีรัมย์,Ring Road around Buriram
แยกทางหลวงหมายเลข 305 (กม.ที่ 31+550) - เลียบคลอง 13 ฝั่งตะวันตก,"Highway 305 (km 31+550) - Liab Khlong 13, Western side"
แยกทางหลวงหมายเลข 22 (กม.ที่ 26+125) - บ้านนาม่วง,Highway 22 (km 26+125) - Ban Nammung
เพชรบุรี - บ้านแหลมฝั่งตะวันออก,Phetchaburi - Ban Laem East
โพนพิสัย - โนนต้อง,Phon Phisai - Non must
แยกทางหลวงหมายเลข 408 (กม.ที่ 48+900) - เขตเทศบาลระโนด (ตอนสงขลา),Highway 408 (Km 48+900) - Ranot Municipality (Songkhla)
แยกทางหลวงหมายเลข 4 (กม.ที่ 1067+752) - บ้านทุ่งหว้าน,Highway 4 (Km. 1067+752) - Ban Thung Wa
นาคำใหญ่ - โพนเมือง,Big Kham - Phon Mueang
แยกทางหลวงหมายเลข 317 (กม.ที่ 93+980) - บ้านศาลาเขียว,Highway 317 (km 93+980) - Ban Sala Khiao
เชื่อมถนนเทศบาลตำบลพัฒนานิคม (กม.ที่ 0+446) - บ้านชอนน้อย,Connecting the Phatthana Nikhom Subdistrict Municipality Road (Km. 0+446) - Ban Chon Noi
แยกทางหลวงหมายเลข 2046 (กม.ที่ 20+600) - บ้านนาไคร้,Highway intersection number 2046 (km 20+600) - Ban Na Khrai
แยกทางหลวงหมายเลข 3204 (กม.ที่ 9+175) - บ้านทางหลวง,Highway intersection number 3204 (km 9+175) - Highway House
บ้านหนองเหียง - บ้านโป่งช้าง,Ban Nong Hiang - Ban Pong Chang
ลำสมพุง - ป่าไผ่,Lam Som Phung - Bamboo Forest
แยกทางหลวงหมายเลข 1091 (กม.ที่ 131+500) - บ้านผาตูบ,Highway 1091 (Km. 131+500) - Ban Pha Tu
แยกทางหลวงหมายเลข 213 (กม.ที่ 15+300) - บ้านเหล่าแดง,Highway 213 (km 15+300) - Ban Lao Daeng
แยกทางหลวงหมายเลข 3336 (กม.ที่ 2+700) - บ้านรางนายร้อย,"Highway intersection number 3336 (km 2+700) - Ban Rang, Cadet"
แยกทางหลวงหมายเลข 1 (กม.ที่ 143+900) - บ้านซับครก,Highway 1 (Km. 143+900) - Ban Subakorn
เขื่อนเพชร - บางกุฬา,Dam Phet - Bangkok
แยกทางหลวงหมายเลข 12 (กม.ที่ 48+700) - เขื่อนแควน้อย,Highway 12 (km 48+700) - Kwai Noi Dam
แยกทางหลวงหมายเลข 213 (กม.ที่ 23+700) - บ้านไทยเจริญ,Highway 213 (Km. 23+700) - Thai Charoen House
แยกทางหลวงหมายเลข 24 (กม.ที่ 14+000) - บ้านสำโรง,Highway 24 (Km. 14+000) - Ban Samrong
แยกทางหลวงชนบท มห.3003 (กม.ที่ 2+975) - บ้านนิคมทหารผ่านศึก,Rural Road Intersection 3003 (Km 2+975) - Baan Nikhom Veterans
แยกทางหลวงหมายเลข 3030 (กม.ที่ 4+406) - บ้านจักรสีห์,Highway intersection number 3030 (km 4+406) - Ban Chak Si
แยกทางหลวงหมายเลข 402 (กม.ที่ 43+500) -บ้านทุ่งทอง,Highway 402 (km 43+500) -Ban Thung Thong
แยกทางหลวงหมายเลข 11 (กม.ที่ 155+723) - บ้านตลาดใหม่,Highway 11 (km 155+723) - Ban Talat Mai
แยก ทช.3034 (กม.ที่22+059) - บ.หนองหมู,"Intersection, NCPO 3034 (Km. 22+059) - Nong Mu Co., Ltd."
แยกทางหลวงหมายเลข 1 (กม.ที่ 274+030) - แยกทางหลวงหมายเลข 1 (กม.ที่ 297+495),Highway 1 (km at 274+030) - Highway 1 (Km at 297+495)
ห้วยยาง - เขมราฐ,Huai Yang - Khemmarat
บางคล้า  - พนมสารคาม,Bang Khla - Phanom Sarakham
แยกทางหลวงหมายเลข 2223 (กม.ที่ 0+000) - บ้านคูเมือง,Highway 2223 (Km. 0+000) - Ban Khu Mueang
ยะลา - โต๊ะปะเก๊ะ,Yala - Table
แยกทางหลวงหมายเลข 4 (กม.ที่ 979+000)-บ้านเขาพนม,Highway 4 (km 979+000)-Ban Khao Phanom
แยกทางหลวงหมายเลข 1021 (กม.ที่ 60+350) - บ้านจำบอน,Highway intersection number 1021 (km at 60+350) - Ban Cham Bon
แยกทางหลวงหมายเลข 3087 (กม.ที่ 24+900) - บ้านเขาแดง,Highway intersection number 3087 (km 24+900) - Ban Khao Daeng
ทางเข้าปาย,Pai entrance
ค่ายพระเจ้าตาก - นาโบสถ์,King Tak -Na Church Camp
แยกนาจักร - น้ำกาย,Nachak -water intersection
แยกทางหลวงหมายเลข 4 (กม.ที่ 1280+522) - บ้านยางเกาะ,Highway 4 (km at 1280+522) - Ban Yang Ko
แยกทางหลวงหมายเลข 42 (กม.ที่ 25+675) - บ้านลาเกาะ,Highway 42 (km 25+675) - Ban La Ko
แยกทางหลวงหมายเลข 222 (กม.ที่ 32+300) - บ้านกุดจอก,Highway 222 (Km 32+300) - Ban Kut Jok
แยกทางหลวงหมายเลข 1020 (กม.ที่ 90+200) - บ้านเนิน 878(พญาพิภักดิ์),Highway 1020 (km 90+200) - Ban Noen 878 (Phaya Phipak)
แยกทางหลวงหมายเลข 11 (กม.ที่ 63+660) - บ้านแม่หลู้ตะวันออก,Highway 11 (km 63+660) - Ban Mae Lu East
บ้านโป่ง - บ่อไร่,Ban Pong - Bo Rai
แยก ทช. พช.6046 (กม.ที่ 6+300) - บ้านดงมูลเหล็ก,NACC Intersection 6046 (Km 6+300) - Ban Dong Mun Lek
แยกทางหลวงหมายเลข 1069 (กม.ที่ 15+510) - บ้านป่าเรไร,Highway 1069 (km 15+510) - Ban Pa Rai
แยกทางหลวงหมายเลข 2445 (กม.ที่ 54+600) - บ้านบุ,Highway 2445 (Km 54+600) - Ban Bu
แยกทางหลวงหมายเลข 222 (กม.ที่ 41+450) - บ้านนาฮี,Highway 222 (km 41+450) - Ban Nahee
แยกทางหลวงหมายเลข 106 (กม.ที่ 146+700) - บ้านริมปิง,Highway 106 (Km. 146+700) - Ban Rim Ping
แยกทางหลวงหมายเลข 23 (กม.ที่ 104+825) - บ้านจังหาร,Highway 23 (Km. 104+825) - Ban Junghan
แยกทางหลวงหมายเลข 2043 (กม.ที่ 47+025) - บ้านกอกแก้ว (ตอนสุวรรณภูมิ),Highway intersection number 2043 (km 47+025) - Ban Kok Kaew (Suvarnabhumi)
อ่าวน้ำเมา - หาดนพรัตน์ธารา,Ao Nam Mao - Nopparat Thara Beach
แยกทางหลวงหมายเลข 2169 (กม.ที่ 24+200) - บ้านคำครตา,Highway 2169 (Km. 24+200) - Ban Khamkot
แยกทางหลวงหมายเลข 3089 (กม.ที่ 30+900) - บ้านหวายเหนียว,Highway intersection number 3089 (Km. 30+900) - Ban Wai Tung
แยกทางหลวงหมายเลข 3423 (กม.ที่ 3+800) - วัดโกรกกราก,Highway intersection number 3423 (km 3+800) - Krok Krak
แยกทางหลวงหมายเลข 11 (กม.ที่ 140+410) - บ้านบ่อทราย,Highway 11 (Km. 140+410) - Ban Bo Sai
แยกทางหลวงหมายเลข 3076 (กม.ที่ 49+342) - บ้านขุนชำนาญ,Highway 3076 (Km. 49+342) - Ban Khun Chamnan
แยกทางหลวงหมายเลข 207 (กม.ที่ 21.900) - บ้านนาเชือก (ตอนมหาสารคาม),Highway 207 (Km. 21.900) - Ban Na Chueak (Maha Sarakham)
แยกทางหลวงหมายเลข 3199 (กม.ที่ 64+020) - บ้านท่าลำใย,Highway intersection number 3199 (km 64+020) - Ban Tha Lamyai
แยกทางหลวงหมายเลข 3022 (กม.ที่ 10+000) - บ้านเขาวง,Highway intersection number 3022 (km 10+000) - Ban Khao Wong
แยกทางหลวงหมายเลข 2 (กม.ที่ 125+990) - บ้านไชยวานน้อย,Highway 2 (Km. 125+990) - Ban Chai Wan Noi
ทางเลี่ยงเมืองอรัญประเทศ,Avoid Aranyaprathet
แยกทางหลวงหมายเลข 3342 (กม.ที่ 24+750) - บ้านหนองงูเหลือม,Highway intersection number 3342 (Km. 24+750) - Ban Nong Ngam
แยกทางหลวงชนบท สห.5040 (กม.ที่ 1+300) - แยก ทช. สห.4020 (กม.ที่ 1+020),"Intersection, Rural Road, Saha. 5040 (Km 1+300) - NCPO Intersection 4020 (Km 1+020)"
แยกทางหลวงหมายเลข 11 (กม.ที่ 131+269) - บ้านไดอีเผือก,Highway 11 (Km. 131+269) - Daiyok House
แยกทางหลวงหมายเลข 325 (กม.ที่ 25+500) - บ้านพิกุลทอง,Highway intersection number 325 (km 25+500) - Ban Pikul Thong
โกตาบารู - แบหอ,Kota Baru -Bar
หนองบัว - ลาดหญ้า,Nong Bua - Lat Ya
แยกทางหลวงหมายเลข 408 (กม.ที่ 142+030) - บ้านสทิงหม้อ,Highway intersection number 408 (Km. 142+030) - Ban Sathing pot
แยกทางหลวงหมายเลข 3377 (กม.ที่ 9+900) - บ้านคลองพระเจ้า,Highway intersection number 3377 (km 9+900) - Ban Khlong Lo
แยกทางหลวงหมายเลข 3028 (กม.ที่ 17+500) - บ้านเขาสาริกา,Highway intersection number 3028 (km 17+500) - Ban Khao Sarika
แยกทางหลวงหมายเลข 4015 (กม.ที่ 35+750) - บ้านสวนอาย,Highway 4015 (Km 35+750) - Ban Suan Eye
แยกทางหลวงชนบท นฐ.4014 (กม.ที่ 4+500) - แยกทางหลวงชนบท นฐ.4006 (กม.ที่ 11+200),"Junction of Rural Road, Nor. 4014 (Km 4+500) - Rural Road Intersection, 4006 (Km 11+200)"
แยกทางหลวงหมายเลข 4135 (กม.ที่ 8+311) - บรรจบทางหลวงหมายเลข 4145,Highway intersection number 4135 (km 8+311) - Convergence Highway 4145
แยกทางหลวงหมายเลข 212 (กม.ที่ 79+450) - บ้านตูม (ตอนหนองคาย),Highway 212 (km 79+450) - Ban Tum (Nong Khai)
แยกทางหลวงชนบท ฉช.3009 (กม.ที่ 21+200) - บ้านวังอีเลี่ยน,"Junction of Rural Road, Chor. 3009 (Km. 21+200) - Ban Wang E -Lian"
แยกทางหลวงชนบท ลป.4025 (กม.ที่ 1+605) - บ้านค่ากลาง,"Intersection, Rural Road, LP 4025 (Km 1+605) - Central House"
แยกทางหลวงหมายเลข 21 (กม.ที่ 363+200) - บ้านหนองอุ่มลัว,Highway 21 (Km. 363+200) - Ban Nong Um Luo
แยกทางหลวงหมายเลข 107 (กม.ที่ 18+700) - บ้านไร่,Highway 107 (km 18+700) - Ban Rai
หนองยายโต๊ะ -  ลำพญาไม้,Nong Yai To -Lamya Mai
ถนนศูนย์ราชการ,Government Center
แยกทางหลวงหมายเลข 3438 (กม.ที่ 27+800) - บ้านคลองชะนีบน,Highway 3438 (Km. 27+800) - Ban Khlong Gibbons Top
สวนเขื่อน - ปากห้วยอ้อย,Dam - Pak Huai Oi
แยกทางหลวงหมายเลข 2083 (กม.ที่ 49+380) - บ้านดงมะหรี่,Highway intersection number 2083 (km 49+380) - Ban Dong Mali
แยกทางหลวงหมายเลข 3341 (กม.ที่ 11+900) - บ้านสามแยก,Highway intersection number 3341 (km 11+900) - Ban Sam Yaek
วังเพลิง - สระโบสถ์,Wang Phloeng - Church Pool
แยกทางหลวงหมายเลข 403 (กม.ที่ 3+600) - บ้านโคกคราม,Highway 403 (km 3+600) - Ban Khok Khram
แยกทางหลวงหมายเลข 4111 (กม.ที่ 10+700) - บ้านบ่อทราย,Highway 4111 (Km 10+700) - Ban Bo Sai
แยกทางหลวงหมายเลข 212 (กม.ที่ 139+150) - บ้านหนองสูง,Highway 212 (km 139+150) - Ban Nong Sung
แยก ทล.3076 - บ้านไทรทอง,Intersection. 3076 - Ban Sai Thong
บาเจาะ - บ้านทอน,Bacho - Ban Thon
แยกทางหลวงหมายเลข 3183 (กม.ที่ 11+956) - บ้านดอนแฝก,Highway intersection number 3183 (Km. 11+956) - Ban Don Fak
ทางหลวงหมายเลข 4145 (กม.ที่ 9+520) - บ้านโคกม่วง,Highway 4145 (Km 9+520) - Ban Khok Muang
แยกทางหลวงหมายเลข 115 (กม.ที่ 80+600) - เทศบาลเมืองพิจิตร,Highway 115 (km 80+600) - Phichit Municipality
บางปะอิน - บางกระสั้น,Bang Pa -in - Bang Kra Short
แยกทางหลวงหมายเลข 1293 (กม.ที่ 21+100) - บ้านหนองกระดิ่ง,Highway 1293 (Km. 21+100) - Ban Nong Ring
หอรบ - ดอนไชย,Hop - Don Chai
อาจณรงค์-บางนา,At Narong-Bangna
แยกทางหลวงหมายเลข 1357 (กม.ที่ 9+600) - บ้านแม่ระวาน,Highway 1357 (km 9+600) - Ban Mae Rawan
แยกทางหลวงหมายเลข 2 (กม.ที่ 499+200) - บ้านโคกโฮง (ตอนหนองคาย),Highway 2 (km 499+200) - Ban Khok Hong (Nong Khai)
สี่แยกละแม - สวนแตง,Lamae intersection
ลำพันชาด - วังสามหมอ,Lam Phan Chad - Wang Sam Mo
เขาหมอน - บ้านพ่วง,Khao Pillow - Ban Phuang
แยกทางหลวงหมายเลข 108 (กม.ที่ 58+100) - บ้านหนองล่อง,Highway 108 (km 58+100) - Ban Nong Long
แยกทางหลวงหมายเลข 404 (กม.ที่ 93+100) -บ้านสะพานวา,Highway 404 (km 93+100) -Ban Saphan Wa
ผือใหม่ - โดนเอาว์,New
นบปริง - นิคม,Nobping - Industrial Estate
แยกทางหลวงหมายเลข 321 (กม.ที่ 58+200) - บ้านทุ่งเข็น,Highway intersection number 321 (km 58+200) - Ban Thung Khe
แยกทางหลวงหมายเลข 1293 (กม.ที่ 7+100) - บ้านลำคลองยาง,Highway 1293 (km 7+100) - Ban Lam Khlong Yang
แยกทางหลวงหมายเลข 1202 (กม.ที่ 5+125) - บ้านป่าแดง,Highway 1202 (Km 5+125) - Ban Pa Daeng
ทางเข้าหาดใหญ่,Hat Yai entrance
แหลมทอง - สระมะค่า,Laem Thong - Saket Makha
